S11 (dB),VSWR,Gain (dBi),Eff (%),BW (MHz),Z_Real (Ohms),Z_Imag (Ohms),Status,Fault_Type
0.054466213629106745,-0.6313561170932478,0.42220499933782746,0.36145106874372596,0.9048428887076937,-0.03814011523159479,0.519633386109163,1,1
0.1152296401424273,-0.32951181509512256,0.39755868836626623,0.10962728652561676,0.6987471141295929,-0.30489984574582035,-0.6893721923655272,1,4
1.0715302336020676,0.8360715664668685,-1.2701750207093743,-1.1408080458677536,-1.2385531669045546,-1.4751348103411006,2.4616110451088713,1,2
0.9615773665779638,2.6935749633784085,-2.4655211028300923,-1.1712005713078704,-1.1148957021576942,-1.195322615948503,1.660918718013607,1,2
0.8979204435640089,0.6549649852679936,-0.9210189486122576,-0.915034999741173,-1.320991476735795,-1.1949147264523041,2.2871318215925895,1,2
0.6447394997585065,0.8174965324977531,-0.6416940909345641,-0.9193767890897612,-0.9087999275795934,2.400223293046755,0.07387482192030684,1,0
0.03131824162403222,-0.6777937020160363,0.7508224789586433,0.5655151681273665,0.32777471988901147,0.15479161647058964,0.474220985467939,1,1
0.5261061432324997,-0.4688245698634879,0.2784348520037204,0.2963242285149046,-0.5378275333390119,-0.6426323485986931,-0.9965034282811733,1,5
0.04723247237752086,-0.5152621547862765,0.29486572598476124,0.34408391134937366,-0.08441682926719017,0.360367922554947,-0.4635052523341765,1,4
1.0397017720950903,1.7090981630152922,-1.79596298810268,-0.9845036293185825,-1.8568404906388571,-1.562831052023912,2.7269150699076,1,2
0.8429440100519568,-0.09268013198890132,-0.2925380188374472,-0.6371604814315351,-1.1561148570733144,1.0162542324431345,-0.5312254989044227,1,0
-0.23054319168337317,-0.6731499435237573,0.32361975545158256,-0.3375770163789569,-0.001978519435949843,-0.06506082198073697,-0.6650725744785564,1,4
0.445088241214739,-0.6034935661395747,0.4016664068615263,0.6219584296590118,-0.33173175876091116,-0.8147617159947226,-1.0530697518869083,1,5
-0.3303688209552569,-0.50133087930944,0.22503451156533782,-0.5633500625055374,0.12167894531091064,0.12746302022524844,-0.8969148303837524,1,4
-1.2837759179142632,-0.9332004190913729,1.2971490388282494,1.9071280768410868,1.234596128032655,-0.07688961737051146,-0.21732223833175193,0,3
-0.06706063939753437,-0.7056562529697094,-0.1323369975222994,-0.10312039155519967,0.7811854239608332,-0.2991893927990326,-0.8634530614902188,1,4
-0.20739521967829863,-0.42703074343297837,-0.2144913674275034,-0.6415022707801233,0.08045979039529048,-0.20700636665803118,-1.0431108920971661,1,4
0.14127110864813608,-0.21806161128043025,-0.004997724169233239,0.21817202024031906,-0.4553892235077716,-0.41951679417777366,-1.188510245027401,1,5
1.064296492350482,1.19364097037234,-2.0383183793230315,-1.4317079322231558,-1.4446489414826555,-1.4013068115290597,1.8238456641737875,1,2
-1.2765421766626772,-0.9332004190913729,1.5066426820865197,1.394796933707692,1.4406919026107559,0.20414624551068342,-0.2113469224579067,0,3
0.17743981490606497,-0.7706688718616133,0.3852355328804855,0.43526148766972367,0.24533641005777113,0.37586772341051367,0.2897829021619154,1,1
-0.3621972824622344,-0.594206049155017,0.8987003447880103,0.7522121101166546,1.0697195083701743,0.11889734080506713,0.116498741820403,1,1
-0.15820577916751535,-0.5756310151859017,0.21681907457481742,0.509071906595721,1.0697195083701743,-0.25513732720952753,0.20294164479536436,1,1
0.06025320663037524,-0.5616997397090651,0.7015298570155208,0.28329886046914043,0.987281198538934,-0.19884857673404893,0.007747992916419335,1,1
0.057359710129741,-0.5988498076472958,0.17163417112695528,0.17475412675443813,0.20411725514215096,-0.008364182009059027,-0.7144685190356771,1,4
1.045488765096359,0.44135209462316655,-0.8922649191454362,-1.7486585546700868,-1.815621335723237,-1.352360071985165,2.45045712214436,1,2
-0.35062329645969714,-0.4688245698634879,-0.1323369975222994,0.10094370782844046,0.1628981002265308,-0.13236258885359198,-0.5499481553091379,1,4
-0.2710521426922535,-0.6824374605083151,0.13055698617435324,0.16172875870867368,-0.1668551390984305,0.17233086480715187,-0.7068997855954732,1,4
-0.35062329645969714,-0.6638624265391997,0.2332499485558582,0.5741987468245424,0.24533641005777113,0.2963292716516848,0.17784531812521426,1,1
0.26569145817541157,-0.4223869849406996,0.5248979617193325,0.3354003326521974,0.1628981002265308,0.4219592364810145,-0.8248126855060196,1,4
-0.6283989605205912,-0.7242312869388248,0.7138530125013015,0.5872241148703066,0.8636237337920736,-0.01978508790263448,0.22803797146551447,1,1
0.34815610844348954,-0.02302375460471841,0.41809728084256714,-0.39402027791060196,-0.2492934489296708,-0.6108169678951616,-0.668259409611274,1,5
0.054466213629106745,-0.5291934302631132,0.44274359181412837,-0.22034870396707829,0.32777471988901147,0.15601528495918707,-0.9837560877503034,1,4
-0.30143385594891386,-0.7846001473384497,0.2086036375842971,0.38316001548666645,0.4514321846358719,0.26288233296335684,0.3499344152919576,1,1
-1.532616616968814,-1.0214318304446712,1.5600430225249025,1.7942415537777965,1.770445141935717,0.0536350214132076,-0.3945899425891612,0,3
0.8993671918143261,1.4072538610171672,-1.8206092990742408,-1.1408080458677536,-1.6095255611451362,-1.3988594745518648,2.246101319258852,1,2
0.9572371218270124,2.7307250313166396,-1.758993521645338,-1.5880123487723272,-1.7331830258919967,-1.4743190313487022,1.0207632107289848,1,2
